Jobkey,Jobtitle,City,State,Country,FormattedLocation,Date,Snippet,URL,Latitude,Longitude,FormattedRelativeTime
1d77b220ebed5eac,DATA SCIENTIST (INTERNS),Bangalore,KA,IN,"Bangalore, Karnataka","Tue, 21 Mar 2017 12:29:40 GMT","Knowledge in Natural Language Processing, Machine Learning, Statistics and Data Mining. You are familiar with the latest data science trends, tools and packages...",http://www.indeed.co.in/viewjob?jk=1d77b220ebed5eac&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PCP6B8fPC9ODKPOMXNEK1JbppTQ7DE48nYCUBHzuTPS2B0Nu1gwN-EBUC4J8hV1Ykt0LCVy_rQinuMfW47e_m&indpubnum=3864921654995829&atk=1bde5pm2cb9aaf2c,12.975275,77.5989,20 days ago
e4900b1a49e5146d,DATA SCIENTIST,Bangalore,KA,IN,"Bangalore, Karnataka","Tue, 21 Mar 2017 12:29:33 GMT","Experience in creating compelling data visualizations. You are familiar with the latest data science trends, tools and packages....",http://www.indeed.co.in/viewjob?jk=e4900b1a49e5146d&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PCP6B8fPC9ODKPOMXNEK1JbppTQ7DE48nYCUBHzuTPS2B0Nu1gwN-EBUC4J8hV1Ykt0LCVy_rQinuMfW47e_m&indpubnum=3864921654995829&atk=1bde5pm2cb9aaf2c,12.975275,77.5989,20 days ago
79b4dfac6ce9a879,Associate Data Scientist,Bangalore,KA,IN,"Bangalore, Karnataka","Wed, 04 Jan 2017 06:48:49 GMT",Strong intuition for data and Keen aptitude on large scale data analysis. You should enjoy working with large data and finding interesting patterns in the data...,http://www.indeed.co.in/viewjob?jk=79b4dfac6ce9a879&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PCP6B8fPC9ODKPOMXNEK1JbppTQ7DE48nYCUBHzuTPS2B0Nu1gwN-EBUC4J8hV1Ykt0LCVy_rQinuMfW47e_m&indpubnum=3864921654995829&atk=1bde5pm2cb9aaf2c,12.975275,77.5989,30+ days ago
2e7ec7f42c7f1280,Data Scientist,Bangalore,KA,IN,"Bangalore, Karnataka","Thu, 09 Mar 2017 09:27:49 GMT",Be the first experienced data scientist for the company. Not afraid to operate outside a business intelligence platform - happy to pull data straight from...,http://www.indeed.co.in/viewjob?jk=2e7ec7f42c7f1280&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PCP6B8fPC9ODKPOMXNEK1JbppTQ7DE48nYCUBHzuTPS2B0Nu1gwN-EBUC4J8hV1Ykt0LCVy_rQinuMfW47e_m&indpubnum=3864921654995829&atk=1bde5pm2cb9aaf2c,12.975275,77.5989,30+ days ago
00764778f3941899,RPA- Data Scientist / Machine learning,Bangalore,KA,IN,"Bangalore, Karnataka","Wed, 22 Mar 2017 07:43:59 GMT","Job Description for Machine Learning and Data Scientists. Proficient in Natural Language Processing techniques, ability to work with large amount of data and...",http://www.indeed.co.in/viewjob?jk=00764778f3941899&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PCP6B8fPC9ODKPOMXNEK1JbppTQ7DE48nYCUBHzuTPYY1k_spzDy634IJUb1GDFAkt0LCVy_rQinuMfW47e_m&indpubnum=3864921654995829&atk=1bde5prflbs238i2,12.975275,77.5989,20 days ago
ae367db047859360,Data Scientist II,Bangalore,KA,IN,"Bangalore, Karnataka","Thu, 23 Mar 2017 10:29:09 GMT","Data Scientist II. Quantitative analysis, data. The Information Scientist III also. The Information Scientist III contributes to....",http://www.indeed.co.in/viewjob?jk=ae367db047859360&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PCP6B8fPC9ODKPOMXNEK1JbppTQ7DE48nYCUBHzuTPYY1k_spzDy634IJUb1GDFAkt0LCVy_rQinuMfW47e_m&indpubnum=3864921654995829&atk=1bde5prflbs238i2,12.975275,77.5989,18 days ago
868ffe242d332f70,IOT Data Scientist and Analytics,Bangalore,KA,IN,"Bangalore, Karnataka","Thu, 16 Feb 2017 11:06:14 GMT",What you'll be doing - Use streaming analytics and machine learning to enable our customers to change their entire operations of enterprise - Tackle fun...,http://www.indeed.co.in/viewjob?jk=868ffe242d332f70&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PCP6B8fPC9ODKPOMXNEK1JbppTQ7DE48nYCUBHzuTPYY1k_spzDy634IJUb1GDFAkt0LCVy_rQinuMfW47e_m&indpubnum=3864921654995829&atk=1bde5prflbs238i2,12.975275,77.5989,30+ days ago
c3c219c86be3e331,Data Engineer,Bangalore,KA,IN,"Bangalore, Karnataka","Thu, 23 Mar 2017 10:15:16 GMT","Understands logical and physical data models, big data storage architecture, data modeling methodologies, metadata management, master data management, data...",http://www.indeed.co.in/viewjob?jk=c3c219c86be3e331&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PCP6B8fPC9ODKPOMXNEK1JbppTQ7DE48nYCUBHzuTPYY1k_spzDy634IJUb1GDFAkt0LCVy_rQinuMfW47e_m&indpubnum=3864921654995829&atk=1bde5prflbs238i2,12.975275,77.5989,18 days ago
81e95f3b992c322c,Sr Data Scientist,Bangalore,KA,IN,"Bangalore, Karnataka","Thu, 06 Apr 2017 10:20:32 GMT",Previous experience working with large data sets using big data technologies including Greenplum or other MPP database systems....,http://www.indeed.co.in/viewjob?jk=81e95f3b992c322c&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PCP6B8fPC9ODKPOMXNEK1JbppTQ7DE48nYCUBHzuTPYY1k_spzDy634IJUb1GDFAkt0LCVy_rQinuMfW47e_m&indpubnum=3864921654995829&atk=1bde5prflbs238i2,12.975275,77.5989,4 days ago
2e49466ea53825a6,"Sr Data & Information Architect, DIG IT-Finance",Bangalore,KA,IN,"Bangalore, Karnataka","Fri, 31 Mar 2017 10:17:13 GMT",Implement Data warehouse &amp; Big/Small data designs with automated MDM and data quality capabilities. Integrate domain data knowledge into development of data...,http://www.indeed.co.in/viewjob?jk=2e49466ea53825a6&qd=hpn1PIYnYFUUyI3l1SSmTmLzJSrmgYmxSc2XHc68el8PCP6B8fPC9ODKPOMXNEK1JbppTQ7DE48nYCUBHzuTPYY1k_spzDy634IJUb1GDFAkt0LCVy_rQinuMfW47e_m&indpubnum=3864921654995829&atk=1bde5prflbs238i2,12.975275,77.5989,10 days ago
